Name,Gender,Race,Level,HexID,ID,Server,Date First Logged,Date Modified
Sanaki,Female,Human,20058,17BF,6079,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Lyonet,Female,Human,23413,17C8,6088,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Reinforce,Female,Human,59188,184d,6221,Mari,2024-01-01 09:31:49.397812,2024-01-02 02:31:29.539932
Jelly,Male,Human,41721,1856,6230,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Sake+Mari,Male,Human,33747,18AE,6318,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Skye,Female,Human,52956,18C8,6344,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Sheeple+Mari,Female,Human,5834,18CC,6348,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Reo,Male,Human,6532,1994,6548,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
liberate,Female,Human,57989,19A3,6563,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
bigobro,Male,Human,23317,19AB,6571,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Miyuri+Mari,Female,Human,29613,19BD,6589,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Ranma,Female,Human,28455,1AF8,6904,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Taiga+Mari,Female,Human,20896,1B34,6964,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Aska,Female,Human,36985,1B66,7014,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Badger,Female,Human,28236,1BF3,7155,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Kalif+Mari,Female,Human,1345,1C35,7221,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Rook,Male,Human,38123,1D68,7528,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Alexrosehear,Male,Human,11620,1DE1,7649,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Orca,Male,Human,144510,1EA2,7842,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Gabby,Female,Human,22081,2024,8228,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Mimi+Mari,Female,Human,29834,2090,8336,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Cioccolato,Female,Human,31583,209E,8350,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Pychnight,Male,Human,41910,20B6,8374,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
RedJoker,Male,Human,46456,21AA,8618,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Iwakurakaze,Female,Human,22903,22EA,8938,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
wildboyjohn,Male,Human,11587,238B,9099,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Shinnryuu+Mari,Male,Human,13744,240C,9228,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Michi+Mari,Male,Human,73188,24C3,9411,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
nemesis+Mari,Male,Human,1019,24C6,9414,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Aquwin,Male,Human,54580,2519,9497,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Gwenni+Mari,Female,Human,25520,25BA,9658,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
tommr,Female,Human,52278,25ED,9709,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
ZippyThePunisher,Female,Human,74962,2600,9728,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Aira+Mari,Female,Human,26133,26EF,9967,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
MJneko,Female,Human,20800,2BED,11245,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Kedalia,Female,Human,76960,2E05,11781,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
merchent,Male,Human,11622,2FA9,12201,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
rob,Female,Human,45749,32EA,13034,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Leon,Female,Human,40510,3339,13113,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
cyberjoel,Male,Human,43653,33E1,13281,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Tsubaki+Mari,Female,Human,23481,349D,13469,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Chinese,Male,Human,32383,364C,13900,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Almond,Male,Human,3556,369D,13981,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Saphryu,Female,Human,44168,3745,14149,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Timx,Male,Human,35073,398B,14731,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
tact+Mari,Male,Human,19209,3A31,14897,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Meteorite,Female,Human,24405,3A38,14904,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Jinana,Female,Human,612,3C20,15392,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Pia+Mari,Female,Human,25072,4164,16740,Mari,2024-01-01 09:31:49.397812,2024-01-02 07:03:33.287510
Soupworks,Male,Human,28959,4258,16984,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Rotag,Female,Human,21167,47D8,18392,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Nanoca,Female,Human,24980,492E,18734,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Vertegrez,Male,Human,24847,4948,18760,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Chaoticszn,Female,Human,9217,4954,18772,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Sleep,Female,Human,24342,4BCB,19403,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Silentethief,Male,Human,9154,4C6C,19564,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Nazuna,Female,Human,83991,4CB1,19633,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Xira,Female,Human,44455,4D86,19846,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Marksuu,Male,Human,24656,4E82,20098,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Clownten,Female,Human,22893,4F72,20338,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
kevin102,Male,Human,18782,4FF4,20468,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Spidy,Male,Human,57750,5527,21799,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Yaya,Female,Human,11963,56E1,22241,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Lolli+Mari,Male,Human,10144,5717,22295,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
Omegablayzix,Male,Human,27309,57C9,22473,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
riku1+Mari,Female,Human,28902,587C,22652,Mari,2024-01-01 09:31:49.397812,2024-01-01 09:31:49.397812
